馬名,性齢,斤量,騎手,単勝,race_id
リスグラシュー,牝5,55,レーン,6.7,201906050811
サートゥルナーリア,牡3,55,スミヨン,7.8,201906050811
ワールドプレミア,牡3,55,武豊,13.4,201906050811
フィエールマン,牡4,57,池添謙一,18.4,201906050811
キセキ,牡5,57,ムーア,27.1,201906050811
シュヴァルグラン,牡7,57,福永祐一,135.4,201906050811
レイデオロ,牡5,57,三浦皇成,35.8,201906050811
ヴェロックス,牡3,55,川田将雅,33.7,201906050811
アーモンドアイ,牝4,55,ルメール,1.5,201906050811
エタリオウ,牡4,57,横山典弘,85.0,201906050811
アルアイン,牡5,57,松山弘平,160.6,201906050811
スワーヴリチャード,牡5,57,マーフィ,17.5,201906050811
スティッフェリオ,牡5,57,丸山元気,133.4,201906050811
アエロリット,牝5,55,津村明秀,107.1,201906050811
スカーレットカラー,牝4,55,岩田康誠,104.6,201906050811
クロコスミア,牝6,55,藤岡佑介,207.1,201906050811
ドウデュース,牡4,58,武豊,5.2,202306050811
スターズオンアース,牝4,56,ルメール,8.6,202306050811
タイトルホルダー,牡5,58,横山和生,8.3,202306050811
ジャスティンパレス,牡4,58,横山武史,3.6,202306050811
シャフリヤール,牡5,58,松山弘平,44.6,202306050811
タスティエーラ,牡3,56,ムーア,7.1,202306050811
ウインマリリン,牝6,56,モリス,171.9,202306050811
ソールオリエンス,牡3,56,川田将雅,6.5,202306050811
ハーパー,牝3,54,岩田望来,93.2,202306050811
ホウオウエミーズ,牝6,56,田辺裕信,193.2,202306050811
アイアンバローズ,牡6,58,石橋脩,133.5,202306050811
スルーセブンシーズ,牝5,56,池添謙一,6.5,202306050811
ライラック,牝4,56,戸崎圭太,65.1,202306050811
プラダリア,牡4,58,ムルザバ,129.5,202306050811
ディープボンド,牡6,58,マーカン,47.4,202306050811
ヒートオンビート,牡6,58,坂井瑠星,187.9,202306050811
